City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,San Jose,US,69.67,broken clouds,37.3394,-121.895,The Westin San Jose
469,Wairoa,NZ,70.56,broken clouds,-39.0333,177.3667,Riverside Motor Camp
470,Rani,IN,68.02,overcast clouds,25.3503,73.3089,Bhawna Engineering Works
474,Puerto Leguizamo,CO,81.84,overcast clouds,-0.1934,-74.7819,la casona de juancho
475,Kirakira,SB,83.41,overcast clouds,-10.4544,161.9205,SanBiz Lodge
476,Puerto Asis,CO,81.16,scattered clouds,0.5133,-76.5007,Ayawaska Hostal
478,Kwinana,AU,60.24,clear sky,-32.25,115.7667,Rockingham Apartments
482,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
484,Santiago De Cao,PE,66.33,overcast clouds,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
485,Omboue,GA,76.8,light rain,-1.5746,9.2618,Hotel Olako
487,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
489,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
490,Cacador,BR,62.28,scattered clouds,-26.7753,-51.015,Hotel Weber
491,Tambura,SS,74.39,broken clouds,5.6,27.4667,Rikito Lodge
493,Xuddur,SO,75.2,few clouds,4.1213,43.8894,Banjanay Hotel
494,Faranah,GN,72.68,few clouds,10.0404,-10.7434,Chez mon oncle
500,Kaeo,NZ,68.32,overcast clouds,-35.1,173.7833,Bushido Lodge
501,Camopi,GF,75.4,overcast clouds,3.1655,-52.3158,La pousada
505,Isla Vista,US,76.35,haze,34.4133,-119.861,Best Western Plus South Coast Inn
506,Port-Gentil,GA,78.76,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
508,Jeremie,HT,80.64,broken clouds,18.65,-74.1167,Auberge’Inn
510,Odweyne,SO,65.75,few clouds,9.4092,45.064,Eng Hiirey House
512,Mbarara,UG,61.61,scattered clouds,-0.608,30.65,Oxford Hotel
516,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
517,Japura,ID,74.71,light rain,-0.3167,102.35,Rumah mbah Jamah
519,Turbat,PK,63.34,clear sky,26.0023,63.044,Mubashar Quarters
522,Ilesha,NG,73.65,overcast clouds,7.1371,5.2583,Tosap Guest House
523,Yarada,IN,77.32,mist,17.65,83.2667,MR-SAGAR_KUMAR_RTR™
527,Biak,ID,77.13,scattered clouds,-0.9131,122.8766,Penginapan Kim
