City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Shenjiamen,CN,29.9576,122.298,61.86,70,55,9.66,broken clouds
240,Coquimbo,CL,-29.9533,-71.3436,60.53,77,75,10.36,broken clouds
241,Norman Wells,CA,65.282,-126.8329,-0.36,85,75,8.05,light snow
242,Butaritari,KI,3.0707,172.7902,82.29,73,100,18.86,overcast clouds
243,Amahai,ID,-3.3333,128.9167,79.43,82,24,4.09,few clouds
244,Pontal Do Parana,BR,-25.6533,-48.5128,74.73,91,100,9.53,overcast clouds
245,Barranca,PE,-10.75,-77.7667,66.11,79,92,9.15,overcast clouds
246,Lahat,ID,-3.8,103.5333,70.9,82,100,2.73,overcast clouds
247,Lentekhi,GE,42.7856,42.7261,43.54,98,100,1.68,overcast clouds
248,Catamarca,AR,-28.4696,-65.7852,79.59,43,15,22.53,few clouds
249,Smithers,CA,54.7804,-127.1743,32.32,74,90,2.3,overcast clouds
250,Galveston,US,29.3669,-94.9669,68.18,57,1,1.01,clear sky
251,Mikkeli,FI,61.6886,27.2723,33.91,93,75,4.61,broken clouds
252,Auki,SB,-8.7676,160.7034,82.69,75,76,2.64,broken clouds
253,Noumea,NC,-22.2763,166.4572,77.0,99,82,8.75,light rain
254,Yerbogachen,RU,61.2767,108.0108,-11.09,100,89,3.36,overcast clouds
255,Palmer,US,42.1584,-72.3287,43.48,59,20,1.99,few clouds
256,Bestobe,KZ,52.4994,73.0975,15.4,65,99,22.55,overcast clouds
257,Quatre Cocos,MU,-20.2078,57.7625,75.31,61,37,11.39,scattered clouds
258,Cuamba,MZ,-14.8031,36.5372,76.62,32,12,1.59,few clouds
259,Camacari,BR,-12.6975,-38.3242,80.37,82,44,8.5,scattered clouds
260,Atar,MR,20.5169,-13.0499,77.49,41,95,6.51,overcast clouds
261,Torbay,CA,47.6666,-52.7314,53.28,96,90,26.46,light intensity drizzle
262,Umm Lajj,SA,25.0213,37.2685,75.7,58,0,8.39,clear sky
263,Santa Isabel,BR,-23.3156,-46.2214,69.66,98,100,3.58,overcast clouds
264,Meulaboh,ID,4.1363,96.1285,75.7,86,98,3.49,overcast clouds
265,Niamey,NE,13.5137,2.1098,88.09,12,22,5.75,few clouds
266,Haines Junction,CA,60.7522,-137.5108,1.35,55,18,1.14,few clouds
267,Cidreira,BR,-30.1811,-50.2056,65.1,68,58,7.0,broken clouds
268,Tilichiki,RU,60.4667,166.1,9.52,90,100,8.28,overcast clouds
269,Roma,US,43.2128,-75.4557,38.84,68,90,13.8,overcast clouds
270,Verkh-Chebula,RU,56.0308,87.6218,3.65,84,100,14.32,overcast clouds
271,Yuli,NG,9.6989,10.2744,80.83,24,6,5.12,clear sky
272,Payakumbuh,ID,-0.2202,100.6308,69.98,93,100,3.09,moderate rain
273,Saskylakh,RU,71.9167,114.0833,-19.97,98,80,7.0,broken clouds
274,Manaure,CO,11.7751,-72.4445,84.07,67,100,15.39,overcast clouds
275,Dalvik,IS,65.9702,-18.5286,31.93,96,100,7.31,light snow
276,Tadine,NC,-21.55,167.8833,74.05,77,100,6.17,overcast clouds
277,Lata,PT,40.1629,-8.3327,59.81,71,27,7.29,scattered clouds
278,Salinopolis,BR,-0.6136,-47.3561,79.97,85,77,11.16,moderate rain
279,Mount Gambier,AU,-37.8333,140.7667,48.11,87,43,0.0,scattered clouds
280,Touros,BR,-5.1989,-35.4608,81.5,72,46,17.52,scattered clouds
281,San Rafael,AR,-34.6177,-68.3301,86.11,18,17,6.51,few clouds
282,Santa Marta,CO,11.2408,-74.199,90.34,76,39,13.51,scattered clouds
283,Miyako,JP,39.6367,141.9525,42.46,66,2,7.25,clear sky
284,Saint-Louis,SN,16.3333,-15.0,87.44,26,97,10.45,overcast clouds
285,Knysna,ZA,-34.0363,23.0471,57.58,83,3,3.96,clear sky
286,Bandiagara,ML,14.3501,-3.6104,81.03,16,31,9.42,scattered clouds
287,Grajau,BR,-5.8194,-46.1386,81.95,65,97,1.9,overcast clouds
288,La Ronge,CA,55.1001,-105.2842,25.05,86,90,3.44,overcast clouds
289,Binday,PH,16.1271,120.4525,74.61,83,9,3.74,clear sky
290,Diamantino,BR,-14.4086,-56.4461,71.08,98,100,2.01,light rain
291,Raudeberg,NO,61.9875,5.1352,43.47,93,100,5.01,overcast clouds
292,Tsabong,BW,-26.0217,22.401,71.62,13,0,10.92,clear sky
293,Necochea,AR,-38.5473,-58.7368,61.03,59,2,10.65,clear sky
294,Kudahuvadhoo,MV,2.6708,72.8944,82.24,74,43,19.82,scattered clouds
295,Sant Julia De Loria,AD,42.4625,1.4825,41.99,83,0,2.3,clear sky
